X,Y,fid,objet,description,photo,icon_url
-0.363912775153012,49.1898420535679,"4",Parking vélo ,5 arches 10 places,DCIM/JPEG_20240308111004946.JPG,./0.png
-0.36386466273183,49.1901424454608,"5",Parking vélo ,8 arches 16 places ,DCIM/JPEG_20240308111316462.JPG,./0.png
-0.363727397179184,49.1901501867634,"6",Banc,4 banc avec dossier,DCIM/JPEG_20240308111432733.JPG,./0.png
-0.363373035591476,49.1899964550286,"7",Rampe ,Handicap bâtiment a,DCIM/JPEG_20240308111618775.JPG,./0.png
-0.362814326715425,49.1902740952789,"8",Parking vélo couvert ,20 places,DCIM/JPEG_20240308111842807.JPG,./0.png
-0.36340045549479,49.1890749786941,"9",Parking vélo ,5 arches 10 places ,DCIM/JPEG_20240308112207917.JPG,./0.png
-0.363706798227872,49.1893014438933,"10",Parking vélo ,5 arches 10 places ,DCIM/JPEG_20240308112421141.JPG,./0.png
-0.364163444829372,49.1890459324729,"11",Parking vélo ,5 arches 10 places ,DCIM/JPEG_20240308112607047.JPG,./0.png
-0.364626990909497,49.1897251047789,"12",Rampe ,Handicap accès b,DCIM/JPEG_20240308112835671.JPG,./0.png
-0.364716994772943,49.1900122906052,"13",Parking vélo ,7 arches 14 places ,DCIM/JPEG_20240308113022894.JPG,./0.png
-0.363279697981531,49.1893463448046,"18",BU,"Bâtiment A, Etage 2",DCIM/JPEG_20240311094110650.JPG,./0.png
-0.363232371031849,49.1895932563717,"19",Administration UFR SEGGAT,"Bâtiment A, Etage 2",DCIM/JPEG_20240311094343369.JPG,./0.png
-0.363116447771416,49.189615625582,"20",Distributeurs,"Bâtiment A, Etage RDC , Café, boisson, friandises ",DCIM/JPEG_20240311095358372.JPG,./0.png
-0.363248770852969,49.1897255739024,"21",Cartotheque ,"Bâtiment A, Etage RDC",DCIM/JPEG_20240311095602822.JPG,./0.png
-0.364695339621556,49.1895462478143,"22",Espace de travail ,Salle de travail ,DCIM/JPEG_20240311095932885.JPG,./0.png
-0.36471514987672,49.1894965606098,"23",Espace détente ,3 fauteuils ,DCIM/JPEG_20240311100052191.JPG,./0.png
-0.364886114272007,49.1894226926857,"24",Direction des études et de la vie étudiante ,"Bâtiment B, Etage RDC",DCIM/JPEG_20240311100346407.JPG,./0.png
-0.364838917799754,49.189282455213,"25",BVE,"Bâtiment B, Etage RDC",DCIM/JPEG_20240311100531252.JPG,./0.png
-0.364790445376045,49.1890892896519,"26",Relais handicap santé ,"Bâtiment B, Etage RDC",DCIM/JPEG_20240311101619145.JPG,./0.png
-0.364600308751409,49.1892264194659,"27",Espace orientation insertion ,"Bâtiment B, Etage RDC",DCIM/JPEG_20240311101913910.JPG,./0.png
-0.364915813021699,49.189466443457,"28",Cafétéria ,Table intérieure et extérieure ,DCIM/JPEG_20240311102304984.JPG,./0.png
-0.364864524154921,49.1894161538442,"29",Distributeurs,"Friandises,  boisson,  café ",DCIM/JPEG_20240311102422967.JPG,./0.png
-0.364765125490433,49.1891427443483,"30",Reprographie ,"Bâtiment B, Etage -1-1",DCIM/JPEG_20240311102726616.JPG,./0.png
-0.364924407753972,49.1891915670322,"31",Banc,4 banc sans dossier ,DCIM/JPEG_20240311102924620.JPG,./0.png
-0.365015498137397,49.1893460814585,"32",Table à pique-nique ,8 tables ,DCIM/JPEG_20240311103012311.JPG,./0.png
-0.365182777016164,49.1893144687384,"33",Banc ,6 banc avec dossier ,DCIM/JPEG_20240311103122965.JPG,./0.png
-0.36503481386213,49.1894588327432,"34",Banc,3 banc sans dossier ,DCIM/JPEG_20240311103224792.JPG,./0.png
-0.364061995353783,49.1894900474497,"35",Test,,,./0.png
